"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\SnapPoint.cs", "C#", 4, 1, 3, 8
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\StairScript.cs", "C#", 13, 2, 3, 18
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\WallSnapPoints.cs", "C#", 5, 1, 2, 8
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Projectile\ProjectileScript.cs", "C#", 8, 2, 3, 13
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\ResHandler.cs", "C#", 565, 2, 97, 664
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Spawning\SpawnNpcsAtNight.cs", "C#", 363, 18, 61, 442
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\GetRandomOreType.cs", "C#", 113, 5, 19, 137
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\MineStone.cs", "C#", 326, 18, 50, 394
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\Ore.cs", "C#", 14, 1, 3, 18
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\StoneColliderScript.cs", "C#", 35, 5, 6, 46
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\ColliderScript.cs", "C#", 21, 3, 5, 29
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\CutTree.cs", "C#", 266, 14, 47, 327
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\DetailPickupMarker.cs", "C#", 45, 1, 8, 54
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\TerrainDetailPickupSpawner.cs", "C#", 288, 2, 50, 340
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Tree\TerrainTreeToPrefabConverter.cs", "C#", 581, 4, 99, 684
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\UI\InfoHandler.cs", "C#", 131, 11, 26, 168
"Total", "-", 14243, 732, 2662, 17637
