Date : 2026-05-25 10:05:42
Directory : c:\Users\adamb\Documents\GitHub\idk\Assets\Script
Total : 89 files,  14006 codes, 1012 comments, 5081 blanks, all 20099 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         88 |     13,992 |      1,012 |      5,080 |     20,084 |
| JSON     |          1 |         14 |          0 |          1 |         15 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         89 |     14,006 |      1,012 |      5,081 |     20,099 |
| . (Files)                                                                                |          1 |        303 |          2 |        102 |        407 |
| Animals                                                                                  |          1 |        232 |          1 |         88 |        321 |
| Chest                                                                                    |          4 |        220 |         26 |         52 |        298 |
| Crafting                                                                                 |          5 |        747 |         86 |        335 |      1,168 |
| CutScenes                                                                                |          1 |         53 |          9 |         25 |         87 |
| Enemies                                                                                  |          7 |        628 |         34 |        231 |        893 |
| Inventory                                                                                |          7 |        798 |        105 |        353 |      1,256 |
| InventoryRemake                                                                          |          3 |        243 |         29 |         90 |        362 |
| Lightning                                                                                |          1 |         96 |         13 |         35 |        144 |
| Menu                                                                                     |          3 |      1,508 |          1 |        459 |      1,968 |
| NPCS                                                                                     |          3 |        134 |         19 |         64 |        217 |
| Optimalization                                                                           |          1 |         22 |          9 |          9 |         40 |
| Player                                                                                   |         28 |      6,179 |        530 |      2,188 |      8,897 |
| Player (Files)                                                                           |         18 |      3,387 |        358 |      1,257 |      5,002 |
| Player\Gun                                                                               |          1 |        591 |         54 |        207 |        852 |
| Player\Test                                                                              |          9 |      2,201 |        118 |        724 |      3,043 |
| Projectile                                                                               |          1 |          3 |          2 |          3 |          8 |
| Save                                                                                     |          4 |        275 |          0 |         86 |        361 |
| Spawning                                                                                 |          1 |        245 |         26 |         92 |        363 |
| Stone                                                                                    |          4 |        545 |         50 |        197 |        792 |
| Terrain                                                                                  |          1 |        213 |          1 |         96 |        310 |
| Tree                                                                                     |          6 |      1,207 |         26 |        435 |      1,668 |
| Tree (Files)                                                                             |          5 |        906 |         26 |        318 |      1,250 |
| Tree\Rework                                                                              |          1 |        301 |          0 |        117 |        418 |
| UI                                                                                       |          1 |         73 |         11 |         26 |        110 |
| Upgrade                                                                                  |          2 |         75 |          8 |         31 |        114 |
| XP                                                                                       |          4 |        207 |         24 |         84 |        315 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                 | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Animals\Animalec.cs                    | C#       |        232 |          1 |         88 |        321 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestChecker.cs                  | C#       |         32 |          2 |         13 |         47 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestController.cs               | C#       |         48 |         17 |         11 |         76 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestItemGenerator.cs            | C#       |         74 |          5 |         23 |        102 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ItemForChestsHandler.cs          | C#       |         66 |          2 |          5 |         73 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableItem.cs              | C#       |         75 |         10 |         37 |        122 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableSlot.cs              | C#       |         82 |         10 |         33 |        125 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingManager.cs            | C#       |        189 |         21 |         83 |        293 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingProcessHandler.cs     | C#       |        378 |         39 |        170 |        587 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingStation.cs            | C#       |         23 |          6 |         12 |         41 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\CutScenes\StartCutSceneScript.cs       | C#       |         53 |          9 |         25 |         87 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\EnemiesHandler.cs              | C#       |          4 |          1 |          3 |          8 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCDemageScript.cs             | C#       |         66 |         11 |         33 |        110 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCHealthScript.cs             | C#       |         53 |          9 |         19 |         81 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomSkeletonScript.cs        | C#       |         14 |          2 |          8 |         24 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomZombieScript.cs          | C#       |        481 |          5 |        162 |        648 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs     | C#       |          5 |          3 |          3 |         11 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\ZombieAnimationScript.cs       | C#       |          5 |          3 |          3 |         11 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\InventoryManager.cs    | C#       |         90 |          8 |         31 |        129 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\Item.cs                | C#       |         13 |          2 |          6 |         21 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs        | C#       |        140 |         19 |         53 |        212 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryAddHandler.cs       | C#       |         12 |          4 |         10 |         26 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryController.cs       | C#       |         47 |          7 |         23 |         77 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryItem.cs             | C#       |         60 |         11 |         23 |         94 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryListHandler.cs      | C#       |         56 |          8 |         27 |         91 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\Slot.cs                      | C#       |        206 |         25 |         89 |        320 |
| c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\SlotManager.cs               | C#       |        116 |         20 |         51 |        187 |
