"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Animals\Animalec.cs", "C#", 169, 0, 0, 169
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestChecker.cs", "C#", 22, 0, 0, 22
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestController.cs", "C#", 22, 0, 0, 22
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestItemGenerator.cs", "C#", 38, 0, 0, 38
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ItemForChestsHandler.cs", "C#", 19, 0, 0, 19
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 36, 0, 0, 36
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 51, 0, 0, 51
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 109, 0, 0, 109
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 203, 0, 0, 203
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingStation.cs", "C#", 13, 0, 0, 13
"c:\Users\adam1\UnityProjects\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 34, 0, 0, 34
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 4, 0, 0, 4
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 31, 0, 0, 31
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 34, 0, 0, 34
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 13, 0, 0, 13
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 233, 0, 0, 233
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs", "C#", 3, 0, 0, 3
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\ZombieAnimationScript.cs", "C#", 3, 0, 0, 3
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\InventoryManager.cs", "C#", 52, 0, 0, 52
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\Item.cs", "C#", 6, 0, 0, 6
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs", "C#", 78, 0, 0, 78
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryAddHandler.cs", "C#", 7, 0, 0, 7
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryController.cs", "C#", 22, 0, 0, 22
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Lightning\RandomRainCycleController.cs", "C#", 48, 0, 0, 48
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\FantasyMenuController.cs", "C#", 417, 0, 0, 417
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettings.cs", "C#", 290, 0, 0, 290
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettingsBootstrapper.cs", "C#", 37, 0, 0, 37
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NPCText.cs", "C#", 2, 0, 0, 2
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NpcTradeInventory.cs", "C#", 142, 0, 0, 142
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\StartCommunication.cs", "C#", 46, 0, 0, 46
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\VisualCommunication.cs", "C#", 53, 0, 0, 53
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Optimalization\Optimalization.cs", "C#", 32, 0, 0, 32
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ActionScrip.cs", "C#", 304, 0, 0, 304
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AnimationScript.cs", "C#", 4, 0, 0, 4
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AxeAnimationScript.cs", "C#", 11, 0, 0, 11
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs", "C#", 173, 0, 0, 173
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Gun\GunItem.cs", "C#", 264, 0, 0, 264
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Item.cs", "C#", 30, 0, 0, 30
