"filename", "language", "C#", "JSON", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestChecker.cs", "C#", 48, 0, 0, 13, 61
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestItemGenerator.cs", "C#", 148, 0, 0, 23, 171
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ItemForChestsHandler.cs", "C#", 53, 0, 0, 8, 61
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 113, 0, 0, 28, 141
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 168, 0, 0, 33, 201
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 198, 0, 0, 36, 234
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 449, 0, 0, 84, 533
"c:\Users\adam1\UnityProjects\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 111, 0, 0, 23, 134
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 7, 0, 0, 3, 10
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 159, 0, 1, 33, 193
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 114, 0, 1, 19, 134
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 40, 0, 0, 8, 48
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 893, 0, 0, 161, 1054
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs", "C#", 13, 0, 0, 3, 16
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\ZombieAnimationScript.cs", "C#", 13, 0, 0, 3, 16
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\InventoryManager.cs", "C#", 201, 0, 2, 31, 234
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs", "C#", 203, 0, 0, 38, 241
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryAddHandler.cs", "C#", 23, 0, 1, 10, 34
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryItem.cs", "C#", 52, 0, 0, 11, 63
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\WeaponSlot.cs", "C#", 284, 0, 0, 49, 333
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Lightning\RandomRainCycleController.cs", "C#", 160, 0, 3, 35, 198
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\FantasyMenuController.cs", "C#", 1618, 0, 0, 281, 1899
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettings.cs", "C#", 882, 0, 1, 143, 1026
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettingsBootstrapper.cs", "C#", 111, 0, 0, 21, 132
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NPCText.cs", "C#", 13, 0, 0, 5, 18
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\StartCommunication.cs", "C#", 118, 0, 0, 25, 143
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\VisualCommunication.cs", "C#", 162, 0, 2, 34, 198
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Optimalization\Optimalization.cs", "C#", 40, 0, 7, 9, 56
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ActionScript.cs", "C#", 1395, 0, 1, 275, 1671
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AxeAnimationScript.cs", "C#", 60, 0, 0, 14, 74
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs", "C#", 837, 0, 3, 130, 970
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Item.cs", "C#", 149, 0, 0, 28, 177
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ItemSwitchScript.cs", "C#", 739, 0, 0, 149, 888
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LevelingManager.cs", "C#", 13, 0, 0, 5, 18
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LookingController.cs", "C#", 35, 0, 0, 8, 43
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\MovementAnimationScript.cs", "C#", 469, 0, 0, 92, 561
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PickaxeAnimationScript.cs", "C#", 9, 0, 0, 4, 13
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PlayerRootMotionDriver.cs", "C#", 96, 0, 1, 18, 115
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RadiusForAttackScript.cs", "C#", 464, 0, 1, 70, 535
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RayScript.cs", "C#", 1212, 0, 4, 229, 1445
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StaminaScript.cs", "C#", 107, 0, 0, 21, 128
