Date : 2026-05-17 00:32:57
Directory : c:\Users\adam1\UnityProjects\idk\Assets\Script
Total : 63 files,  18020 codes, 47 comments, 3293 blanks, all 21360 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         62 |     18,006 |         47 |      3,292 |     21,345 |
| JSON     |          1 |         14 |          0 |          1 |         15 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         63 |     18,020 |         47 |      3,293 |     21,360 |
| . (Files)                                                                             |          1 |        590 |          2 |        102 |        694 |
| Chest                                                                                 |          3 |        249 |          0 |         44 |        293 |
| Crafting                                                                              |          4 |        928 |          0 |        181 |      1,109 |
| CutScenes                                                                             |          1 |        111 |          0 |         23 |        134 |
| Enemies                                                                               |          7 |      1,239 |          2 |        230 |      1,471 |
| Inventory                                                                             |          3 |        359 |          1 |         70 |        430 |
| InventoryRemake                                                                       |          2 |        404 |          2 |         69 |        475 |
| Lightning                                                                             |          1 |        160 |          3 |         35 |        198 |
| Menu                                                                                  |          3 |      2,611 |          1 |        445 |      3,057 |
| NPCS                                                                                  |          3 |        293 |          2 |         64 |        359 |
| Optimalization                                                                        |          1 |         40 |          7 |          9 |         56 |
| Player                                                                                |         19 |      6,653 |         13 |      1,229 |      7,895 |
| Player (Files)                                                                        |         17 |      6,210 |         13 |      1,154 |      7,377 |
| Player\Test                                                                           |          2 |        443 |          0 |         75 |        518 |
| Save                                                                                  |          1 |        358 |          0 |         59 |        417 |
| Spawning                                                                              |          1 |        491 |          6 |         90 |        587 |
| Stone                                                                                 |          4 |      1,151 |          3 |        194 |      1,348 |
| Tree                                                                                  |          2 |      1,709 |          1 |        309 |      2,019 |
| Tree (Files)                                                                          |          1 |      1,054 |          1 |        192 |      1,247 |
| Tree\Rework                                                                           |          1 |        655 |          0 |        117 |        772 |
| UI                                                                                    |          1 |        131 |          3 |         26 |        160 |
| Upgrade                                                                               |          2 |        150 |          1 |         31 |        182 |
| XP                                                                                    |          4 |        393 |          0 |         83 |        476 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                              | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestChecker.cs                  | C#       |         48 |          0 |         13 |         61 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestItemGenerator.cs            | C#       |        148 |          0 |         23 |        171 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ItemForChestsHandler.cs          | C#       |         53 |          0 |          8 |         61 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableItem.cs              | C#       |        113 |          0 |         28 |        141 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableSlot.cs              | C#       |        168 |          0 |         33 |        201 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingManager.cs            | C#       |        198 |          0 |         36 |        234 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingProcessHandler.cs     | C#       |        449 |          0 |         84 |        533 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\CutScenes\StartCutSceneScript.cs       | C#       |        111 |          0 |         23 |        134 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\EnemiesHandler.cs              | C#       |          7 |          0 |          3 |         10 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCDemageScript.cs             | C#       |        159 |          1 |         33 |        193 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCHealthScript.cs             | C#       |        114 |          1 |         19 |        134 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomSkeletonScript.cs        | C#       |         40 |          0 |          8 |         48 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomZombieScript.cs          | C#       |        893 |          0 |        161 |      1,054 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs     | C#       |         13 |          0 |          3 |         16 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\ZombieAnimationScript.cs       | C#       |         13 |          0 |          3 |         16 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\InventoryManager.cs    | C#       |        201 |          2 |         31 |        234 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs        | C#       |        203 |          0 |         38 |        241 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryAddHandler.cs       | C#       |         23 |          1 |         10 |         34 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryItem.cs             | C#       |         52 |          0 |         11 |         63 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\WeaponSlot.cs                | C#       |        284 |          0 |         49 |        333 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Lightning\RandomRainCycleController.cs | C#       |        160 |          3 |         35 |        198 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\FantasyMenuController.cs          | C#       |      1,618 |          0 |        281 |      1,899 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettings.cs                   | C#       |        882 |          1 |        143 |      1,026 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettingsBootstrapper.cs       | C#       |        111 |          0 |         21 |        132 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NPCText.cs                        | C#       |         13 |          0 |          5 |         18 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\StartCommunication.cs             | C#       |        118 |          0 |         25 |        143 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\VisualCommunication.cs            | C#       |        162 |          2 |         34 |        198 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Optimalization\Optimalization.cs       | C#       |         40 |          7 |          9 |         56 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ActionScript.cs                 | C#       |      1,395 |          1 |        275 |      1,671 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AxeAnimationScript.cs           | C#       |         60 |          0 |         14 |         74 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs                | C#       |        837 |          3 |        130 |        970 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Item.cs                         | C#       |        149 |          0 |         28 |        177 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ItemSwitchScript.cs             | C#       |        739 |          0 |        149 |        888 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LevelingManager.cs              | C#       |         13 |          0 |          5 |         18 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LookingController.cs            | C#       |         35 |          0 |          8 |         43 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\MovementAnimationScript.cs      | C#       |        469 |          0 |         92 |        561 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PickaxeAnimationScript.cs       | C#       |          9 |          0 |          4 |         13 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PlayerRootMotionDriver.cs       | C#       |         96 |          1 |         18 |        115 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RadiusForAttackScript.cs        | C#       |        464 |          1 |         70 |        535 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RayScript.cs                    | C#       |      1,212 |          4 |        229 |      1,445 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StaminaScript.cs                | C#       |        107 |          0 |         21 |        128 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StarterItems.cs                 | C#       |         58 |          1 |          9 |         68 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Sword.cs                        | C#       |         45 |          1 |         10 |         56 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordAnimationScript.cs         | C#       |         55 |          0 |         12 |         67 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordTrailEffect.cs             | C#       |        467 |          1 |         80 |        548 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\TestHitting.cs             | C#       |        428 |          0 |         70 |        498 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\XPTest.cs                  | C#       |         15 |          0 |          5 |         20 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\ResHandler.cs                          | C#       |        590 |          2 |        102 |        694 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Save\GameSaveManager.cs                | C#       |        358 |          0 |         59 |        417 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Spawning\SpawnNpcsAtNight.cs           | C#       |        491 |          6 |         90 |        587 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\GetRandomOreType.cs              | C#       |        113 |          1 |         19 |        133 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\MineStone.cs                     | C#       |        989 |          1 |        166 |      1,156 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\Ore.cs                           | C#       |         14 |          0 |          3 |         17 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\StoneColliderScript.cs           | C#       |         35 |          1 |          6 |         42 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\Rework\TreeHandler.cs             | C#       |        655 |          0 |        117 |        772 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\TerrainTreeToPrefabConverter.cs   | C#       |      1,054 |          1 |        192 |      1,247 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\UI\InfoHandler.cs                      | C#       |        131 |          3 |         26 |        160 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Upgrade\UpgradeManager.cs              | C#       |        117 |          1 |         25 |        143 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Upgrade\UpgradeSlot.cs                 | C#       |         33 |          0 |          6 |         39 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\PlayerXPState.cs                    | C#       |         55 |          0 |         12 |         67 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\XPHandler.cs                        | C#       |        168 |          0 |         34 |        202 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\XPLevelTableLoader.cs               | C#       |        156 |          0 |         36 |        192 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\XPLevels.json                       | JSON     |         14 |          0 |          1 |         15 |
| Total                                                                                 |          |     18,020 |         47 |      3,293 |     21,360 |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
