"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", -98, 0, -18, -116
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\WeaponSlot.cs", "C#", -125, 0, -20, -145
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\FantasyMenuController.cs", "C#", -97, 0, -14, -111
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ActionScript.cs", "C#", -63, 0, -18, -81
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ItemSwitchScript.cs", "C#", -4, 0, -1, -5
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RayScript.cs", "C#", -61, -1, -17, -79
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordTrailEffect.cs", "C#", -14, 0, -3, -17
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\TestHitting.cs", "C#", -885, -1, -161, -1047
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Spawning\SpawnNpcsAtNight.cs", "C#", -1, 0, -1, -2
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\MineStone.cs", "C#", -21, 0, -4, -25
"Total", "-", -1369, -2, -257, -1628
