"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 9, 0, 0, 9
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 56, 0, 0, 56
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 112, 0, 0, 112
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 221, 0, 0, 221
"c:\Users\adam1\UnityProjects\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 68, 0, 4, 72
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 65, 0, 0, 65
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\InventoryManager.cs", "C#", 1, 0, 0, 1
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\WeaponSlot.cs", "C#", 3, 0, 0, 3
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\EndCreditsScroller.cs", "C#", 96, 0, 16, 112
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\EndSceneStartController.cs", "C#", 37, 0, 9, 46
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\FantasyMenuController.cs", "C#", 12, 0, 0, 12
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettings.cs", "C#", 7, 0, 0, 7
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettingsBootstrapper.cs", "C#", 28, 0, 0, 28
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\UISquareGraphicGuard.cs", "C#", 86, 0, 12, 98
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NpcTradeInventory.cs", "C#", 158, 0, 0, 158
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\StartCommunication.cs", "C#", 42, 0, 0, 42
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ActionScrip.cs", "C#", 26, 0, 0, 26
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs", "C#", 49, 0, 0, 49
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ItemSwitchScript.cs", "C#", 94, 0, 2, 96
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LevelingManager.cs", "C#", 20, 0, 0, 20
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\MovementAnimationScript.cs", "C#", 29, 0, 0, 29
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PlayerHealth.cs", "C#", 217, 0, 5, 222
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RayScript.cs", "C#", 87, 0, 0, 87
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StaminaScript.cs", "C#", 1, 0, 0, 1
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Sword.cs", "C#", 25, 0, 3, 28
"c:\Users\adam1\UnityProjects\idk\Assets\Script\ResHandler.cs", "C#", 10, 0, 0, 10
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Spawning\SpawnNpcsAtNight.cs", "C#", 54, 0, 0, 54
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\MineStone.cs", "C#", 21, 0, 0, 21
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\Rework\TreeHandler.cs", "C#", 1, 0, 0, 1
"c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\PlayerXPState.cs", "C#", 49, 0, 1, 50
"c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\XPHandler.cs", "C#", 55, 0, 1, 56
"Total", "-", 1739, 0, 53, 1792
