"filename", "language", "C#", "JSON", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Animals\Animalec.cs", "C#", 312, 0, 0, 1, 313
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestChecker.cs", "C#", 34, 0, 0, 1, 35
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestController.cs", "C#", 49, 0, 0, 1, 50
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestItemGenerator.cs", "C#", 83, 0, 0, 1, 84
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ItemForChestsHandler.cs", "C#", 39, 0, 0, 1, 40
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 98, 0, 0, 1, 99
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 155, 0, 0, 1, 156
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 339, 0, 0, 1, 340
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 693, 0, 0, 1, 694
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingStation.cs", "C#", 31, 0, 0, 1, 32
"c:\Users\adam1\UnityProjects\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 136, 0, 0, 5, 141
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 7, 0, 0, 1, 8
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 79, 0, 0, 1, 80
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 68, 0, 0, 1, 69
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 23, 0, 0, 1, 24
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 621, 0, 0, 1, 622
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs", "C#", 6, 0, 0, 1, 7
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\ZombieAnimationScript.cs", "C#", 6, 0, 0, 1, 7
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\InventoryManager.cs", "C#", 108, 0, 0, 1, 109
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\Item.cs", "C#", 9, 0, 0, 1, 10
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs", "C#", 154, 0, 0, 1, 155
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryAddHandler.cs", "C#", 17, 0, 0, 1, 18
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryController.cs", "C#", 53, 0, 0, 1, 54
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryItem.cs", "C#", 30, 0, 0, 1, 31
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryListHandler.cs", "C#", 48, 0, 0, 1, 49
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\Slot.cs", "C#", 137, 0, 0, 1, 138
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\SlotManager.cs", "C#", 69, 0, 0, 1, 70
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\WeaponSlot.cs", "C#", 226, 0, 0, 1, 227
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Lightning\RandomRainCycleController.cs", "C#", 119, 0, 0, 1, 120
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\EndCreditsScroller.cs", "C#", 96, 0, 0, 16, 112
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\EndSceneStartController.cs", "C#", 37, 0, 0, 9, 46
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\FantasyMenuController.cs", "C#", 1138, 0, 0, 1, 1139
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettings.cs", "C#", 675, 0, 0, 1, 676
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettingsBootstrapper.cs", "C#", 106, 0, 0, 1, 107
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\UISquareGraphicGuard.cs", "C#", 86, 0, 0, 12, 98
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NPCText.cs", "C#", 4, 0, 0, 1, 5
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NpcTradeInventory.cs", "C#", 530, 0, 0, 1, 531
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\StartCommunication.cs", "C#", 137, 0, 0, 1, 138
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\VisualCommunication.cs", "C#", 93, 0, 0, 1, 94
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Optimalization\Optimalization.cs", "C#", 120, 0, 7, 18, 145
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ActionScrip.cs", "C#", 850, 0, 0, 1, 851
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AnimationScript.cs", "C#", 6, 0, 0, 1, 7
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AxeAnimationScript.cs", "C#", 36, 0, 0, 1, 37
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs", "C#", 576, 0, 0, 1, 577
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Gun\GunItem.cs", "C#", 700, 0, 0, 1, 701
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Item.cs", "C#", 80, 0, 0, 1, 81
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ItemSwitchScript.cs", "C#", 553, 0, 0, 3, 556
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LevelingManager.cs", "C#", 27, 0, 0, 1, 28
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LookingController.cs", "C#", 83, 0, 0, 1, 84
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\MovementAnimationScript.cs", "C#", 309, 0, 0, 1, 310
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PickaxeAnimationScript.cs", "C#", 5, 0, 0, 1, 6
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PlayerHealth.cs", "C#", 217, 0, 0, 5, 222
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PlayerRootMotionDriver.cs", "C#", 52, 0, 0, 1, 53
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RadiusForAttackScript.cs", "C#", 280, 0, 0, 1, 281
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RayScript.cs", "C#", 805, 0, 0, 1, 806
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StaminaScript.cs", "C#", 63, 0, 0, 1, 64
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StarterItems.cs", "C#", 35, 0, 0, 1, 36
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Sword.cs", "C#", 71, 0, 0, 4, 75
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordAnimationScript.cs", "C#", 29, 0, 0, 1, 30
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordTrailEffect.cs", "C#", 288, 0, 0, 1, 289
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FPSControllerTest.cs", "C#", 187, 0, 0, 1, 188
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FloorScript.cs", "C#", 17, 0, 0, 1, 18
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\RayCastScriptTest.cs", "C#", 1300, 0, 0, 1, 1301
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\SnapPoint.cs", "C#", 21, 0, 0, 1, 22
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\StairScript.cs", "C#", 17, 0, 0, 1, 18
