Date : 2026-05-23 15:58:45
Directory : c:\Users\adamb\Documents\GitHub\idk\Assets\Script
Total : 84 files,  14833 codes, 927 comments, 4666 blanks, all 20426 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         83 |     14,819 |        927 |      4,665 |     20,411 |
| JSON     |          1 |         14 |          0 |          1 |         15 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         84 |     14,833 |        927 |      4,666 |     20,426 |
| . (Files)                                                                                |          1 |        319 |          2 |        102 |        423 |
| Animals                                                                                  |          1 |        242 |          1 |         88 |        331 |
| Chest                                                                                    |          4 |        380 |         31 |         52 |        463 |
| Crafting                                                                                 |          5 |        910 |         86 |        335 |      1,331 |
| CutScenes                                                                                |          1 |        120 |          9 |         25 |        154 |
| Enemies                                                                                  |          7 |        767 |         34 |        231 |      1,032 |
| Inventory                                                                                |          7 |      1,037 |        105 |        353 |      1,495 |
| InventoryRemake                                                                          |          3 |        266 |         29 |         90 |        385 |
| Lightning                                                                                |          1 |        160 |         14 |         35 |        209 |
| Menu                                                                                     |          3 |      1,612 |          1 |        459 |      2,072 |
| NPCS                                                                                     |          3 |        206 |         19 |         64 |        289 |
| Optimalization                                                                           |          1 |         40 |          9 |          9 |         58 |
| Player                                                                                   |         23 |      5,490 |        438 |      1,773 |      7,701 |
| Player (Files)                                                                           |         18 |      3,913 |        358 |      1,257 |      5,528 |
| Player\Gun                                                                               |          1 |        640 |         54 |        207 |        901 |
| Player\Test                                                                              |          4 |        937 |         26 |        309 |      1,272 |
| Projectile                                                                               |          1 |          8 |          2 |          3 |         13 |
| Save                                                                                     |          4 |        309 |          0 |         86 |        395 |
| Spawning                                                                                 |          1 |        265 |         26 |         92 |        383 |
| Stone                                                                                    |          4 |        652 |         51 |        197 |        900 |
| Terrain                                                                                  |          1 |        227 |          1 |         96 |        324 |
