"filename", "language", "JSON", "XML", "C#", "UnityShader", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, 0, 0, 253, 4, 70, 327
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, 0, 0, 253, 4, 65, 322
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, 0, 0, 198, 10, 51, 259
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, 0, 0, 193, 8, 52, 253
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, 0, 0, 82, 4, 21, 107
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "UnityShader", 0, 0, 0, 290, 15, 85, 390
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, 0, 0, 192, 8, 51, 251
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, 0, 0, 104, 8, 28, 140
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, 0, 0, 123, 4, 33, 160
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, 0, 0, 253, 4, 70, 327
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, 0, 0, 111, 0, 21, 132
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, 0, 0, 63, 2, 20, 85
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 0, 0, 0, 129, 2, 35, 166
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 0, 0, 0, 62, 6, 13, 81
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 0, 0, 0, 75, 7, 18, 100
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 155, 0, 0, 0, 0, 2, 157
"c:\Users\adam1\UnityProjects\idk\Assets\TutorialInfo\Scripts\Editor\ReadmeEditor.cs", "C#", 0, 0, 195, 0, 1, 47, 243
"c:\Users\adam1\UnityProjects\idk\Assets\TutorialInfo\Scripts\Readme.cs", "C#", 0, 0, 14, 0, 0, 3, 17
"c:\Users\adam1\UnityProjects\idk\Packages\manifest.json", "JSON", 52, 0, 0, 0, 0, 1, 53
"c:\Users\adam1\UnityProjects\idk\Packages\packages-lock.json", "JSON", 494, 0, 0, 0, 0, 1, 495
"c:\Users\adam1\UnityProjects\idk\SandBox.slnx", "XML", 0, 39, 0, 0, 0, 1, 40
"c:\Users\adam1\UnityProjects\idk\idk.slnx", "XML", 0, 40, 0, 0, 0, 1, 41
"Total", "-", 701, 79, 4527, 2860, 204, 1604, 9975
