"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingStation.cs", "C#", -52, -1, -12, -65
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\Item.cs", "C#", -19, 0, -6, -25
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryController.cs", "C#", -105, -1, -23, -129
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryListHandler.cs", "C#", -125, -1, -27, -153
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\Slot.cs", "C#", -455, 0, -89, -544
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\SlotManager.cs", "C#", -267, -5, -51, -323
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs", "C#", -4, 0, 0, -4
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LookingController.cs", "C#", -96, -1, -19, -116
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FPSControllerTest.cs", "C#", -351, -1, -68, -420
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FloorScript.cs", "C#", -27, 0, -7, -34
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\RayCastScriptTest.cs", "C#", -2140, -4, -388, -2532
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\SnapPoint.cs", "C#", -30, 0, -7, -37
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\StairScript.cs", "C#", -27, 0, -7, -34
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\WallSnapPoints.cs", "C#", -19, 0, -6, -25
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Save\BuildPieceKind.cs", "C#", -6, 0, -1, -7
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Save\BuildPreviewMarker.cs", "C#", -4, 0, -2, -6
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Save\GameSaveManager.cs", "C#", -124, 0, -15, -139
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Save\RuntimeBuildPiece.cs", "C#", -33, 0, -9, -42
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\MineStone.cs", "C#", 12, 0, 1, 13
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Upgrade\UpgradeManager.cs", "C#", -1, 0, 0, -1
"c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\XPHandler.cs", "C#", -14, 0, -1, -15
"Total", "-", -3887, -14, -737, -4638
