"filename", "language", "C#", "JSON", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Animals\Animalec.cs", "C#", 447, 0, 1, 88, 536
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestChecker.cs", "C#", 48, 0, 2, 13, 63
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestController.cs", "C#", 69, 0, 22, 11, 102
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ChestItemGenerator.cs", "C#", 148, 0, 5, 23, 176
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Chest\ItemForChestsHandler.cs", "C#", 115, 0, 2, 5, 122
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 134, 0, 9, 34, 177
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 168, 0, 10, 33, 211
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 399, 0, 21, 83, 503
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 653, 0, 27, 123, 803
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingStation.cs", "C#", 52, 0, 6, 12, 70
"c:\Users\adam1\UnityProjects\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 120, 0, 9, 25, 154
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 7, 0, 1, 3, 11
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 148, 0, 10, 29, 187
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 141, 0, 9, 22, 172
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 409, 0, 20, 71, 500
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 484, 0, 21, 88, 593
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs", "C#", 13, 0, 3, 3, 19
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\ZombieAnimationScript.cs", "C#", 13, 0, 3, 3, 19
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\InventoryManager.cs", "C#", 201, 0, 8, 31, 240
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\Item.cs", "C#", 19, 0, 2, 6, 27
"c:\Users\adam1\UnityProjects\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs", "C#", 213, 0, 15, 41, 269
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryAddHandler.cs", "C#", 23, 0, 4, 10, 37
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryController.cs", "C#", 105, 0, 7, 23, 135
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryItem.cs", "C#", 102, 0, 10, 20, 132
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryListHandler.cs", "C#", 125, 0, 8, 27, 160
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\Slot.cs", "C#", 455, 0, 25, 89, 569
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\SlotManager.cs", "C#", 267, 0, 20, 51, 338
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\WeaponSlot.cs", "C#", 658, 0, 30, 130, 818
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Lightning\RandomRainCycleController.cs", "C#", 160, 0, 14, 35, 209
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NPCText.cs", "C#", 13, 0, 2, 5, 20
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\StartCommunication.cs", "C#", 118, 0, 10, 25, 153
"c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\VisualCommunication.cs", "C#", 162, 0, 7, 34, 203
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Optimalization\Optimalization.cs", "C#", 40, 0, 9, 9, 58
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ActionScrip.cs", "C#", 1153, 0, 77, 225, 1455
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AnimationScript.cs", "C#", 8, 0, 2, 4, 14
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AxeAnimationScript.cs", "C#", 60, 0, 5, 14, 79
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs", "C#", 794, 0, 36, 118, 948
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Gun\GunItem.cs", "C#", 1175, 0, 54, 207, 1436
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Item.cs", "C#", 8, 0, 1, 3, 12
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ItemSwitchScript.cs", "C#", 325, 0, 17, 66, 408
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LevelingManager.cs", "C#", 13, 0, 2, 5, 20
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LookingController.cs", "C#", 143, 0, 12, 30, 185
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\MovementAnimationScript.cs", "C#", 463, 0, 33, 90, 586
