"filename", "language", "JSON", "C#", "comment", "blank", "total"
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Sword.cs", "C#", 0, 45, 5, 10, 60
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\SwordAnimationScript.cs", "C#", 0, 55, 8, 12, 75
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\SwordTrailEffect.cs", "C#", 0, 481, 17, 83, 581
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\FPSControllerTest.cs", "C#", 0, 351, 22, 68, 441
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\FloorScript.cs", "C#", 0, 13, 2, 3, 18
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\RayCastScriptTest.cs", "C#", 0, 1852, 86, 342, 2280
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\SnapPoint.cs", "C#", 0, 4, 1, 3, 8
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\StairScript.cs", "C#", 0, 13, 2, 3, 18
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\TestHitting.cs", "C#", 0, 1166, 1, 204, 1371
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\TreeTest.cs", "C#", 0, 16, 2, 5, 23
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\WallSnapPoints.cs", "C#", 0, 5, 1, 2, 8
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Test\XPTest.cs", "C#", 0, 15, 2, 5, 22
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Projectile\ProjectileScript.cs", "C#", 0, 8, 2, 3, 13
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\ResHandler.cs", "C#", 0, 590, 2, 102, 694
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Spawning\SpawnNpcsAtNight.cs", "C#", 0, 425, 20, 71, 516
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Stone\GetRandomOreType.cs", "C#", 0, 113, 5, 19, 137
