Date : 2026-05-28 20:21:50
Directory : c:\Users\adam1\UnityProjects\idk\Assets\Script
Total : 91 files,  14620 codes, 99 comments, 4329 blanks, all 19048 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         90 |     14,606 |         99 |      4,328 |     19,033 |
| JSON     |          1 |         14 |          0 |          1 |         15 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\WeaponSlot.cs                | C#       |        297 |          0 |        104 |        401 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Lightning\RandomRainCycleController.cs | C#       |         96 |          4 |         26 |        126 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\FantasyMenuController.cs          | C#       |        970 |          0 |        308 |      1,278 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettings.cs                   | C#       |        580 |          1 |        153 |        734 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettingsBootstrapper.cs       | C#       |         66 |          0 |         21 |         87 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\NPCText.cs                        | C#       |          3 |          0 |          2 |          5 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\StartCommunication.cs             | C#       |         58 |          0 |         15 |         73 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\NPCS\VisualCommunication.cs            | C#       |         63 |          2 |         29 |         94 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Optimalization\Optimalization.cs       | C#       |         88 |          7 |         18 |        113 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ActionScrip.cs                  | C#       |        672 |          1 |        203 |        876 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AnimationScript.cs              | C#       |          4 |          0 |          3 |          7 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\AxeAnimationScript.cs           | C#       |         30 |          0 |          9 |         39 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs                | C#       |        544 |          3 |         99 |        646 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Gun\GunItem.cs                  | C#       |        591 |          2 |        155 |        748 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Item.cs                         | C#       |         81 |          0 |         20 |        101 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ItemSwitchScript.cs             | C#       |        360 |          0 |        115 |        475 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LevelingManager.cs              | C#       |          4 |          0 |          1 |          5 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LookingController.cs            | C#       |         70 |          1 |         19 |         90 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\MovementAnimationScript.cs      | C#       |        234 |          0 |         59 |        293 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PickaxeAnimationScript.cs       | C#       |          5 |          0 |          3 |          8 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PlayerRootMotionDriver.cs       | C#       |         41 |          1 |         16 |         58 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RadiusForAttackScript.cs        | C#       |        280 |          0 |         64 |        344 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RayScript.cs                    | C#       |        550 |          5 |        181 |        736 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StaminaScript.cs                | C#       |         61 |          0 |         14 |         75 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StarterItems.cs                 | C#       |         24 |          1 |          9 |         34 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Sword.cs                        | C#       |         39 |          1 |          7 |         47 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordAnimationScript.cs         | C#       |         23 |          0 |          4 |         27 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordTrailEffect.cs             | C#       |        273 |          1 |         67 |        341 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FPSControllerTest.cs       | C#       |        213 |          1 |         46 |        260 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FloorScript.cs             | C#       |         10 |          1 |          6 |         17 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\RayCastScriptTest.cs       | C#       |      1,286 |          4 |        306 |      1,596 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\SnapPoint.cs               | C#       |         12 |          0 |          6 |         18 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\StairScript.cs             | C#       |         10 |          1 |          6 |         17 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\TestHitting.cs             | C#       |        688 |          1 |        252 |        941 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\TreeTest.cs                | C#       |          7 |          0 |          2 |          9 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\WallSnapPoints.cs          | C#       |          8 |          0 |          5 |         13 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\XPTest.cs                  | C#       |          5 |          0 |          2 |          7 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Projectile\ProjectileScript.cs         | C#       |          4 |          0 |          3 |          7 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\ResHandler.cs                          | C#       |        435 |          2 |        141 |        578 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Save\BuildPieceKind.cs                 | C#       |          4 |          0 |          1 |          5 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Save\BuildPreviewMarker.cs             | C#       |          2 |          0 |          2 |          4 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Save\GameSaveManager.cs                | C#       |        239 |          0 |         74 |        313 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Save\RuntimeBuildPiece.cs              | C#       |         14 |          0 |          9 |         23 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Spawning\SpawnNpcsAtNight.cs           | C#       |        245 |          6 |         72 |        323 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\GetRandomOreType.cs              | C#       |         70 |          0 |         15 |         85 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\MineStone.cs                     | C#       |        445 |          2 |        131 |        578 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\Ore.cs                           | C#       |         10 |          0 |          3 |         13 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\StoneColliderScript.cs           | C#       |         12 |          2 |          3 |         17 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Terrain\TerrainTreePrefabStreamer.cs   | C#       |        236 |          0 |         64 |        300 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Terrain\TerrainTreeProxySpawner.cs     | C#       |        209 |          1 |         96 |        306 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\ColliderScript.cs                 | C#       |         10 |          1 |          3 |         14 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\CutTree.cs                        | C#       |        168 |          2 |         47 |        217 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\DetailPickupMarker.cs             | C#       |         27 |          1 |          8 |         36 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\Rework\TreeHandler.cs             | C#       |        323 |          0 |        122 |        445 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\TerrainDetailPickupSpawner.cs     | C#       |        146 |          2 |         50 |        198 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\TerrainTreeToPrefabConverter.cs   | C#       |        543 |          1 |        191 |        735 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\UI\InfoHandler.cs                      | C#       |         73 |          3 |         18 |         94 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\UnitySceneSearch.cs                    | C#       |         45 |          0 |         11 |         56 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Upgrade\UpgradeManager.cs              | C#       |         58 |          1 |         19 |         78 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\Upgrade\UpgradeSlot.cs                 | C#       |         15 |          0 |          3 |         18 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\PlayerXPState.cs                    | C#       |         33 |          0 |          7 |         40 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\XPHandler.cs                        | C#       |         87 |          0 |         25 |        112 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\XPLevelTableLoader.cs               | C#       |         65 |          0 |         27 |         92 |
| c:\Users\adam1\UnityProjects\idk\Assets\Script\XP\XPLevels.json                       | JSON     |         14 |          0 |          1 |         15 |
| Total                                                                                 |          |     14,620 |         99 |      4,329 |     19,048 |
+---------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
