"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", -148, -10, -37, -195
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", -168, -10, -33, -211
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", -237, -13, -49, -299
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", -860, -39, -170, -1069
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingStation.cs", "C#", -7, -1, -2, -10
"c:\Users\adam1\UnityProjects\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 120, 9, 25, 154
"Total", "-", -1300, -64, -266, -1630
