"filename", "language", "JSON", "C#", "comment", "blank", "total"
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Animals\Animalec.cs", "C#", 0, 232, 1, 88, 321
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestChecker.cs", "C#", 0, 32, 2, 13, 47
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestController.cs", "C#", 0, 48, 17, 11, 76
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestItemGenerator.cs", "C#", 0, 74, 5, 23, 102
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ItemForChestsHandler.cs", "C#", 0, 66, 2, 5, 73
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 0, 75, 10, 37, 122
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 0, 82, 10, 33, 125
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 0, 189, 21, 83, 293
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 0, 378, 39, 170, 587
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingStation.cs", "C#", 0, 23, 6, 12, 41
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 0, 53, 9, 25, 87
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 0, 4, 1, 3, 8
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 0, 66, 11, 33, 110
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 0, 53, 9, 19, 81
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 0, 14, 2, 8, 24
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 0, 481, 5, 162, 648
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs", "C#", 0, 5, 3, 3, 11
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\ZombieAnimationScript.cs", "C#", 0, 5, 3, 3, 11
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\InventoryManager.cs", "C#", 0, 90, 8, 31, 129
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\Item.cs", "C#", 0, 13, 2, 6, 21
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs", "C#", 0, 140, 19, 53, 212
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryAddHandler.cs", "C#", 0, 12, 4, 10, 26
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryController.cs", "C#", 0, 47, 7, 23, 77
