"filename", "language", "C#", "JSON", "XML", "UnityShader", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\FPSController.cs", "C#", -268, 0, 0, 0, -12, -40, -320
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Item.cs", "C#", -14, 0, 0, 0, -2, -5, -21
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\ItemSwitchScript.cs", "C#", -40, 0, 0, 0, -2, -8, -50
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LookingController.cs", "C#", -109, 0, 0, 0, -1, -23, -133
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\MovementAnimationScript.cs", "C#", -41, 0, 0, 0, -2, -8, -51
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\PickaxeAnimationScript.cs", "C#", -15, 0, 0, 0, -2, -6, -23
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RadiusForAttackScript.cs", "C#", -64, 0, 0, 0, -1, -14, -79
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\RayScript.cs", "C#", -130, 0, 0, 0, -3, -28, -161
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\StaminaScript.cs", "C#", -65, 0, 0, 0, -2, -12, -79
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\SwordAnimationScript.cs", "C#", -15, 0, 0, 0, -2, -5, -22
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FPSControllerTest.cs", "C#", -221, 0, 0, 0, -9, -32, -262
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\FloorScript.cs", "C#", -13, 0, 0, 0, 0, -3, -16
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\RayCastScriptTest.cs", "C#", -1416, 0, 0, 0, -3, -245, -1664
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\SnapPoint.cs", "C#", -10, 0, 0, 0, -2, -5, -17
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\StairScript.cs", "C#", -13, 0, 0, 0, 0, -3, -16
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\Test\WallSnapPoints.cs", "C#", -5, 0, 0, 0, 0, -2, -7
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\GetRandomOreType.cs", "C#", -105, 0, 0, 0, 0, -17, -122
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\MineStone.cs", "C#", -255, 0, 0, 0, -3, -39, -297
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\Ore.cs", "C#", -14, 0, 0, 0, 0, -3, -17
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Stone\StoneColliderScript.cs", "C#", -11, 0, 0, 0, -2, -5, -18
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\ColliderScript.cs", "C#", -15, 0, 0, 0, -2, -5, -22
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Tree\CutTree.cs", "C#", -214, 0, 0, 0, -2, -35, -251
"c:\Users\adam1\UnityProjects\idk\Assets\Script\UI\InfoHandler.cs", "C#", -79, 0, 0, 0, -3, -13, -95
"c:\Users\adam1\UnityProjects\idk\Assets\Solodream\VFX_FireballPack\Scripts\FireballHorizontalMovement.cs", "C#", -48, 0, 0, 0, 0, -7, -55
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "UnityShader", 0, 0, 0, -130, -18, -31, -179
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, 0, 0, -113, -2, -31, -146
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, 0, 0, -123, -3, -30, -156
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, 0, 0, -113, -2, -31, -146
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, 0, 0, -253, -4, -70, -327
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, 0, 0, -253, -4, -65, -322
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, 0, 0, -198, -10, -51, -259
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, 0, 0, -193, -8, -52, -253
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, 0, 0, -82, -4, -21, -107
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "UnityShader", 0, 0, 0, -290, -15, -85, -390
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, 0, 0, -192, -8, -51, -251
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, 0, 0, -104, -8, -28, -140
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, 0, 0, -123, -4, -33, -160
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, 0, 0, -253, -4, -70, -327
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, 0, 0, -111, 0, -21, -132
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, 0, 0, -63, -2, -20, -85
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 0, 0, 0, -129, -2, -35, -166
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 0, 0, 0, -62, -6, -13, -81
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 0, 0, 0, -75, -7, -18, -100
"c:\Users\adam1\UnityProjects\idk\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, -155, 0, 0, 0, -2, -157
"c:\Users\adam1\UnityProjects\idk\Assets\TutorialInfo\Scripts\Editor\ReadmeEditor.cs", "C#", -195, 0, 0, 0, -1, -47, -243
"c:\Users\adam1\UnityProjects\idk\Assets\TutorialInfo\Scripts\Readme.cs", "C#", -14, 0, 0, 0, 0, -3, -17
"c:\Users\adam1\UnityProjects\idk\Packages\manifest.json", "JSON", 0, -52, 0, 0, 0, -1, -53
"c:\Users\adam1\UnityProjects\idk\Packages\packages-lock.json", "JSON", 0, -494, 0, 0, 0, -1, -495
"c:\Users\adam1\UnityProjects\idk\SandBox.slnx", "XML", 0, 0, -39, 0, 0, -1, -40
"c:\Users\adam1\UnityProjects\idk\idk.slnx", "XML", 0, 0, -40, 0, 0, -1, -41
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 19, 0, 0, 0, 2, 6, 27
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 75, 0, 0, 0, 3, 17, 95
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 103, 0, 0, 0, 2, 20, 125
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 10, 0, 0, 0, 2, 5, 17
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 120, 0, 0, 0, 9, 25, 154
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 6, 0, 0, 0, 1, 3, 10
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 148, 0, 0, 0, 10, 29, 187
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 141, 0, 0, 0, 9, 22, 172
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 211, 0, 0, 0, 12, 33, 256
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 309, 0, 0, 0, 15, 54, 378
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs", "C#", 13, 0, 0, 0, 3, 3, 19
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\ZombieAnimationScript.cs", "C#", 13, 0, 0, 0, 3, 3, 19
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryController.cs", "C#", 62, 0, 0, 0, 2, 14, 78
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryItem.cs", "C#", 42, 0, 0, 0, 5, 9, 56
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryListHandler.cs", "C#", 58, 0, 0, 0, 3, 12, 73
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\Slot.cs", "C#", 232, 0, 0, 0, 16, 46, 294
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\SlotManager.cs", "C#", 143, 0, 0, 0, 15, 27, 185
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Lightning\RandomRainCycleController.cs", "C#", 160, 0, 0, 0, 14, 35, 209
