"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 19, 2, 6, 27
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 75, 3, 17, 95
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 103, 2, 20, 125
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 10, 2, 5, 17
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 120, 9, 25, 154
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 6, 1, 3, 10
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 148, 10, 29, 187
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 141, 9, 22, 172
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 211, 12, 33, 256
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 309, 15, 54, 378
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs", "C#", 13, 3, 3, 19
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\ZombieAnimationScript.cs", "C#", 13, 3, 3, 19
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryController.cs", "C#", 62, 2, 14, 78
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryItem.cs", "C#", 42, 5, 9, 56
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryListHandler.cs", "C#", 58, 3, 12, 73
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\Slot.cs", "C#", 232, 16, 46, 294
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\SlotManager.cs", "C#", 143, 15, 27, 185
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Lightning\RandomRainCycleController.cs", "C#", 160, 14, 35, 209
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Optimalization\Optimalization.cs", "C#", 31, 9, 9, 49
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\ActionScrip.cs", "C#", 58, 7, 11, 76
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\AnimationScript.cs", "C#", 8, 2, 4, 14
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\AxeAnimationScript.cs", "C#", 10, 2, 5, 17
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\FPSController.cs", "C#", 419, 22, 78, 519
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Item.cs", "C#", 8, 1, 3, 12
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\ItemSwitchScript.cs", "C#", 37, 1, 7, 45
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\LevelingManager.cs", "C#", 13, 2, 5, 20
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\LookingController.cs", "C#", 109, 8, 22, 139
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\MovementAnimationScript.cs", "C#", 43, 4, 6, 53
