"filename", "language", "JSON", "C#", "comment", "blank", "total"
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Animals\Animalec.cs", "C#", 0, 232, 1, 88, 321
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestChecker.cs", "C#", 0, 29, 0, 10, 39
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestController.cs", "C#", 0, 44, 15, 9, 68
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ChestItemGenerator.cs", "C#", 0, 68, 0, 18, 86
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Chest\ItemForChestsHandler.cs", "C#", 0, 28, 0, 8, 36
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableItem.cs", "C#", 0, 75, 1, 28, 104
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftableSlot.cs", "C#", 0, 76, 0, 22, 98
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 0, 181, 1, 63, 245
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingProcessHandler.cs", "C#", 0, 370, 2, 133, 505
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Crafting\CraftingStation.cs", "C#", 0, 23, 1, 7, 31
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", 0, 53, 1, 17, 71
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\EnemiesHandler.cs", "C#", 0, 4, 0, 2, 6
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCDemageScript.cs", "C#", 0, 66, 1, 23, 90
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\NPCHealthScript.cs", "C#", 0, 53, 1, 12, 66
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomSkeletonScript.cs", "C#", 0, 14, 0, 6, 20
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", 0, 478, 0, 155, 633
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\SkeletonAnimatopmScript.cs", "C#", 0, 5, 0, 2, 7
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Enemies\ZombieAnimationScript.cs", "C#", 0, 5, 0, 2, 7
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\InventoryManager.cs", "C#", 0, 90, 2, 25, 117
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\Item.cs", "C#", 0, 9, 0, 2, 11
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\InventoryRemake\SlotInsideUI.cs", "C#", 0, 130, 0, 33, 163
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryAddHandler.cs", "C#", 0, 12, 1, 7, 20
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryController.cs", "C#", 0, 47, 1, 17, 65
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryItem.cs", "C#", 0, 56, 2, 14, 72
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\InventoryListHandler.cs", "C#", 0, 52, 1, 20, 73
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\Slot.cs", "C#", 0, 194, 0, 64, 258
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\SlotManager.cs", "C#", 0, 112, 6, 37, 155
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Inventory\WeaponSlot.cs", "C#", 0, 285, 0, 100, 385
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Lightning\RandomRainCycleController.cs", "C#", 0, 96, 4, 26, 126
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Menu\FantasyMenuController.cs", "C#", 0, 872, 0, 284, 1156
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Menu\GameSettings.cs", "C#", 0, 509, 1, 143, 653
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Menu\GameSettingsBootstrapper.cs", "C#", 0, 66, 0, 21, 87
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\NPCS\NPCText.cs", "C#", 0, 3, 0, 2, 5
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\NPCS\StartCommunication.cs", "C#", 0, 58, 0, 15, 73
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\NPCS\VisualCommunication.cs", "C#", 0, 63, 2, 29, 94
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Optimalization\Optimalization.cs", "C#", 0, 22, 7, 7, 36
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\ActionScrip.cs", "C#", 0, 672, 1, 203, 876
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\AnimationScript.cs", "C#", 0, 4, 0, 3, 7
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\AxeAnimationScript.cs", "C#", 0, 30, 0, 9, 39
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\FPSController.cs", "C#", 0, 544, 3, 99, 646
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Gun\GunItem.cs", "C#", 0, 590, 2, 155, 747
"c:\Users\adamb\Documents\GitHub\idk\Assets\Script\Player\Item.cs", "C#", 0, 81, 0, 20, 101
