"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Crafting\CraftingManager.cs", "C#", 21, 0, 5, 26
"c:\Users\adam1\UnityProjects\idk\Assets\Script\CutScenes\StartCutSceneScript.cs", "C#", -9, -1, -2, -12
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Enemies\RandomZombieScript.cs", "C#", -31, 0, -1, -32
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Menu\GameSettings.cs", "C#", -2, 0, 0, -2
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Player\LookingController.cs", "C#", -12, 0, -3, -15
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Spawning\SpawnNpcsAtNight.cs", "C#", -33, 0, -1, -34
"Total", "-", -66, -1, -2, -69
